touch_observation_id,timestamp_et,session_date_et,session_time_et,level,zone_low,zone_high,approach,consecutive_touch,previous_close,touch_open,touch_high,touch_low,touch_close,touch_close_response_points,full_5m_window,upside_5m_points,downside_5m_points,close_relative_5m_points,favorable_5m_points,adverse_5m_points,close_move_5m_points,full_15m_window,upside_15m_points,downside_15m_points,close_relative_15m_points,favorable_15m_points,adverse_15m_points,close_move_15m_points,full_30m_window,upside_30m_points,downside_30m_points,close_relative_30m_points,favorable_30m_points,adverse_30m_points,close_move_30m_points,dominant_30m_reaction,heavy_10pt_30m_reaction,full_60m_window,upside_60m_points,downside_60m_points,close_relative_60m_points,favorable_60m_points,adverse_60m_points,close_move_60m_points
28,2026-02-04 10:00:00,2026-02-04,10:00:00,6900,6898,6902,from_above,true,6902.28,6902.78,6902.78,6886.09,6893.97,-6.03,true,13.28,6.27,11.91,13.28,6.27,11.91,true,16.89,6.27,7.75,16.89,6.27,7.75,true,30.01,6.27,5.16,30.01,6.27,5.16,true,true,true,30.01,8.22,-8.22,30.01,8.22,-8.22
29,2026-02-04 10:05:00,2026-02-04,10:05:00,6900,6898,6902,from_below,true,6893.97,6893.73,6913.28,6893.73,6911.91,-11.91,true,16.89,0,11.33,0,16.89,-11.33,true,24.59,0,22.62,0,24.59,-22.62,true,30.01,4.69,11.52,4.69,30.01,-11.52,false,false,true,30.01,12.79,-11.28,12.79,30.01,11.28
30,2026-02-04 10:35:00,2026-02-04,10:35:00,6900,6898,6902,from_above,false,6905.16,6905.41,6922.44,6895.31,6911.52,11.52,true,24.71,0,17.35,24.71,0,17.35,true,24.71,0,9.96,24.71,0,9.96,true,24.71,12.79,-11.28,24.71,12.79,-11.28,true,true,true,24.71,14.22,-10.28,24.71,14.22,-10.28
31,2026-02-04 11:00:00,2026-02-04,11:00:00,6900,6898,6902,from_above,false,6906.47,6907.58,6909.98,6891.78,6891.78,-8.22,true,0,12.79,-11.28,0,12.79,-11.28,true,4.59,12.79,-11.06,4.59,12.79,-11.06,true,5.99,14.22,-6.72,5.99,14.22,-6.72,false,false,true,5.99,35.17,-10.39,5.99,35.17,-10.39
32,2026-02-04 11:10:00,2026-02-04,11:10:00,6900,6898,6902,from_below,false,6888.72,6889.26,6904.59,6887.57,6900.77,-0.77,true,3.76,12.6,-11.06,12.6,3.76,11.06,true,5.99,14.22,5.37,14.22,5.99,-5.37,true,5.99,24.77,-24.49,24.77,5.99,24.49,true,true,true,5.99,35.17,-11.11,35.17,5.99,11.11
33,2026-02-04 11:15:00,2026-02-04,11:15:00,6900,6898,6902,continuation_in_zone,true,6900.77,6900.81,6903.76,6887.4,6888.94,,true,0,14.22,-0.81,,,,true,5.99,14.22,-6.72,,,,true,5.99,33.68,-30.91,,,,,,true,5.99,35.17,-20.87,,,
34,2026-02-04 11:20:00,2026-02-04,11:20:00,6900,6898,6902,from_below,true,6888.94,6889.22,6899.7,6885.78,6899.19,0.81,true,5.99,3.34,5.37,3.34,5.99,-5.37,true,5.99,10.57,-10.28,10.57,5.99,10.28,true,5.99,35.17,-25.8,35.17,5.99,25.8,true,true,true,5.99,35.17,-23,35.17,5.99,23
35,2026-02-04 11:25:00,2026-02-04,11:25:00,6900,6898,6902,continuation_in_zone,true,6899.19,6899.44,6905.99,6896.66,6905.37,,true,5.55,6.93,-6.72,,,,true,5.55,24.77,-24.49,,,,true,5.55,35.17,-12.3,,,,,,true,5.55,44.83,-42.09,,,
36,2026-02-04 11:30:00,2026-02-04,11:30:00,6900,6898,6902,from_above,true,6905.37,6904.9,6905.55,6893.07,6893.28,-6.72,true,0,10.57,-10.28,0,10.57,-10.28,true,0,33.68,-30.91,0,33.68,-30.91,true,0,35.17,-10.39,0,35.17,-10.39,false,false,true,0,45.32,-42.06,0,45.32,-42.06
37,2026-02-04 12:35:00,2026-02-04,12:35:00,6850,6848,6852,from_above,false,6857.94,6857.97,6857.97,6845.78,6845.97,-4.03,true,2.43,8.35,1.99,2.43,8.35,1.99,true,3.48,11.2,2.01,3.48,11.2,2.01,true,11.32,11.2,-4.54,11.32,11.2,-4.54,true,true,true,21.44,11.2,11.17,21.44,11.2,11.17
38,2026-02-04 12:40:00,2026-02-04,12:40:00,6850,6848,6852,from_below,true,6845.97,6845.56,6852.43,6841.65,6851.99,-1.99,true,3.46,7.61,-5.89,7.61,3.46,5.89,true,9.85,11.2,8.32,11.2,9.85,-8.32,true,11.32,11.2,0.58,11.2,11.32,-0.58,false,true,true,21.44,11.2,12.96,11.2,21.44,-12.96
39,2026-02-04 12:45:00,2026-02-04,12:45:00,6850,6848,6852,continuation_in_zone,true,6851.99,6851.9,6853.46,6842.39,6844.11,,true,3.48,11.2,2.01,,,,true,9.94,11.2,3.73,,,,true,11.32,11.2,-3.76,,,,,,true,21.44,11.2,10.59,,,
40,2026-02-04 12:50:00,2026-02-04,12:50:00,6850,6848,6852,from_below,true,6844.11,6844.37,6853.48,6838.8,6852.01,-2.01,true,9.85,0,8.32,0,9.85,-8.32,true,11.32,4.64,-4.54,4.64,11.32,4.54,true,11.32,4.97,6.42,4.97,11.32,-6.42,false,false,true,21.44,4.97,16.56,4.97,21.44,-16.56
41,2026-02-04 13:00:00,2026-02-04,13:00:00,6850,6848,6852,from_above,false,6858.32,6858.37,6859.94,6848.2,6853.73,3.73,true,11.32,4.64,-4.54,11.32,4.64,-4.54,true,11.32,4.97,-3.76,11.32,4.97,-3.76,true,21.44,4.97,6.53,21.44,4.97,6.53,true,true,true,26.85,4.97,13.26,26.85,4.97,13.26
42,2026-02-04 13:05:00,2026-02-04,13:05:00,6850,6848,6852,from_above,true,6853.73,6854.16,6861.32,6845.36,6845.46,-4.54,true,2.81,4.93,0.58,2.81,4.93,0.58,true,6.42,4.97,6.42,6.42,4.97,6.42,true,21.44,4.97,11.17,21.44,4.97,11.17,true,true,true,26.85,4.97,14.97,26.85,4.97,14.97
43,2026-02-04 13:10:00,2026-02-04,13:10:00,6850,6848,6852,from_below,true,6845.46,6845.19,6852.81,6845.07,6850.58,-0.58,true,2.7,4.97,-3.76,4.97,2.7,3.76,true,21.44,4.97,20.47,4.97,21.44,-20.47,true,21.44,4.97,12.96,4.97,21.44,-12.96,false,false,true,26.85,4.97,15.17,4.97,26.85,-15.17
44,2026-02-04 13:15:00,2026-02-04,13:15:00,6850,6848,6852,continuation_in_zone,true,6850.58,6850.4,6852.7,6845.03,6846.24,,true,6.42,4.6,6.42,,,,true,21.44,4.6,6.53,,,,true,21.44,4.6,10.59,,,,,,true,26.85,4.6,20.35,,,
45,2026-02-04 13:20:00,2026-02-04,13:20:00,6850,6848,6852,from_below,true,6846.24,6846.25,6856.42,6845.4,6856.42,-6.42,true,21.44,0,20.47,0,21.44,-20.47,true,21.44,0,11.17,0,21.44,-11.17,true,21.44,0,16.56,0,21.44,-16.56,false,false,true,26.85,0,20.33,0,26.85,-20.33
46,2026-02-04 14:45:00,2026-02-04,14:45:00,6900,6898,6902,from_below,false,6887.88,6887.97,6904.36,6886.1,6895.73,4.27,true,6.57,6.17,-0.18,6.17,6.57,0.18,true,6.57,6.17,-0.13,6.17,6.57,0.13,true,6.57,10.46,-2.99,10.46,6.57,2.99,true,true,true,6.57,10.46,4.11,10.46,6.57,-4.11
47,2026-02-04 14:50:00,2026-02-04,14:50:00,6900,6898,6902,from_below,true,6895.73,6895.68,6906.57,6893.83,6899.82,0.18,true,5.58,1.82,4.84,1.82,5.58,-4.84,true,6.41,3.45,2.02,3.45,6.41,-2.02,true,6.41,10.46,-0.06,10.46,6.41,0.06,true,true,true,6.41,13.62,-13.02,13.62,6.41,13.02
48,2026-02-04 14:55:00,2026-02-04,14:55:00,6900,6898,6902,continuation_in_zone,true,6899.82,6899.76,6905.58,6898.18,6904.84,,true,6.41,3.45,-0.13,,,,true,6.41,10.46,-3.84,,,,true,6.41,10.46,-2.59,,,,,,true,6.41,21.08,-17.25,,,
49,2026-02-04 15:00:00,2026-02-04,15:00:00,6900,6898,6902,from_above,true,6904.84,6905.01,6906.41,6896.55,6899.87,-0.13,true,2.32,0.61,2.02,2.32,0.61,2.02,true,2.91,10.46,-2.99,2.91,10.46,-2.99,true,3.62,10.46,0.8,3.62,10.46,0.8,false,false,true,4.91,21.08,-17.29,4.91,21.08,-17.29
50,2026-02-04 15:05:00,2026-02-04,15:05:00,6900,6898,6902,continuation_in_zone,true,6899.87,6900.04,6902.32,6899.39,6902.02,,true,2.91,10.46,-3.84,,,,true,2.91,10.46,-0.06,,,,true,4.67,10.46,3.71,,,,,,false,4.91,21.08,,,,
51,2026-02-04 15:10:00,2026-02-04,15:10:00,6900,6898,6902,continuation_in_zone,true,6902.02,6902,6902.91,6889.54,6896.16,,true,0,6.31,-2.99,,,,true,3.62,6.39,-2.59,,,,true,4.91,6.39,0.17,,,,,,false,4.91,21.08,,,,
52,2026-02-04 15:15:00,2026-02-04,15:15:00,6900,6898,6902,from_below,true,6896.16,6896.41,6899.3,6893.69,6897.01,2.99,true,1.75,6.39,-0.06,6.39,1.75,0.06,true,3.62,6.39,0.8,6.39,3.62,-0.8,true,4.91,6.39,4.11,6.39,4.91,-4.11,true,false,false,4.91,21.08,,21.08,4.91,
53,2026-02-04 15:20:00,2026-02-04,15:20:00,6900,6898,6902,from_below,true,6897.01,6896.86,6901.75,6893.61,6899.94,0.06,true,3.62,3.19,-2.59,3.19,3.62,2.59,true,4.67,4.79,3.71,4.79,4.67,-3.71,true,4.91,13.62,-13.02,13.62,4.91,13.02,true,true,false,4.91,21.08,,21.08,4.91,
54,2026-02-04 15:25:00,2026-02-04,15:25:00,6900,6898,6902,continuation_in_zone,true,6899.94,6900.09,6903.62,6896.81,6897.41,,true,2.75,4.79,0.8,,,,true,4.91,4.79,0.17,,,,true,4.91,21.08,-17.25,,,,,,false,4.91,21.08,,,,
55,2026-02-04 15:30:00,2026-02-04,15:30:00,6900,6898,6902,from_below,true,6897.41,6897.44,6902.75,6895.21,6900.8,-0.8,true,4.67,1.6,3.71,1.6,4.67,-3.71,true,4.91,2.98,4.11,2.98,4.91,-4.11,true,4.91,21.08,-17.29,21.08,4.91,17.29,true,true,false,4.91,21.08,,21.08,4.91,
56,2026-02-04 15:35:00,2026-02-04,15:35:00,6900,6898,6902,continuation_in_zone,true,6900.8,6900.53,6904.67,6898.4,6903.71,,true,4.91,0.27,0.17,,,,true,4.91,13.62,-13.02,,,,false,4.91,21.08,,,,,,,false,4.91,21.08,,,,
57,2026-02-04 15:40:00,2026-02-04,15:40:00,6900,6898,6902,from_above,true,6903.71,6903.99,6904.91,6899.73,6900.17,0.17,true,4.74,2.98,4.11,4.74,2.98,4.11,true,4.74,21.08,-17.25,4.74,21.08,-17.25,false,4.74,21.08,,4.74,21.08,,,,false,4.74,21.08,,4.74,21.08,
58,2026-02-04 15:45:00,2026-02-04,15:45:00,6900,6898,6902,continuation_in_zone,true,6900.17,6900.09,6904.74,6897.02,6904.11,,true,4.11,13.62,-13.02,,,,true,4.11,21.08,-17.29,,,,false,4.11,21.08,,,,,,,false,4.11,21.08,,,,
59,2026-02-04 15:50:00,2026-02-04,15:50:00,6900,6898,6902,from_above,true,6904.11,6904.11,6904.11,6886.38,6886.98,-13.02,true,0,21.08,-17.25,0,21.08,-17.25,false,0,21.08,,0,21.08,,false,0,21.08,,0,21.08,,,,false,0,21.08,,0,21.08,
60,2026-02-05 09:40:00,2026-02-05,09:40:00,6850,6848,6852,from_below,false,6845.67,6845.98,6855.45,6835.95,6852.85,-2.85,true,4.67,5.54,0.16,5.54,4.67,-0.16,true,7.85,26.5,-22.68,26.5,7.85,22.68,true,7.85,60.81,-60.81,60.81,7.85,60.81,true,true,true,7.85,69.54,-49.87,69.54,7.85,49.87
61,2026-02-05 09:45:00,2026-02-05,09:45:00,6850,6848,6852,continuation_in_zone,true,6852.85,6851.74,6854.67,6844.46,6850.16,,true,7.85,12.41,-11.36,,,,true,7.85,39.37,-35.26,,,,true,7.85,62.18,-47.63,,,,,,true,7.85,69.54,-65.63,,,
62,2026-02-05 09:50:00,2026-02-05,09:50:00,6850,6848,6852,continuation_in_zone,true,6850.16,6850.56,6857.85,6837.59,6838.64,,true,0,26.5,-22.68,,,,true,0,45.18,-40.05,,,,true,0,62.18,-56.93,,,,,,true,0,69.54,-61.15,,,
63,2026-02-05 10:10:00,2026-02-05,10:10:00,6800,6798,6802,from_above,false,6809.95,6809.84,6812.52,6789.19,6789.19,-10.81,true,5.99,12.18,2.37,5.99,12.18,2.37,true,5.99,16.97,-12.86,5.99,16.97,-12.86,true,5.99,19.54,0.13,5.99,19.54,0.13,false,false,true,5.99,19.87,-19.87,5.99,19.87,-19.87
64,2026-02-05 10:15:00,2026-02-05,10:15:00,6800,6798,6802,from_below,true,6789.19,6789.23,6805.99,6787.82,6802.37,-2.37,true,2.89,10.13,-6.93,10.13,2.89,6.93,true,3.45,19.54,-18.34,19.54,3.45,18.34,true,5.68,19.54,-15.63,19.54,5.68,15.63,true,true,true,5.68,19.87,2.91,19.87,5.68,-2.91
65,2026-02-05 10:20:00,2026-02-05,10:20:00,6800,6798,6802,from_above,true,6802.37,6802.25,6802.89,6789.87,6793.07,-6.93,true,3.45,16.97,-12.86,3.45,16.97,-12.86,true,3.45,19.54,-1.74,3.45,19.54,-1.74,true,5.68,19.54,-11.15,5.68,19.54,-11.15,false,false,true,14,19.87,11.71,14,19.87,11.71
66,2026-02-05 10:25:00,2026-02-05,10:25:00,6800,6798,6802,from_below,true,6793.07,6793.45,6803.45,6783.03,6787.14,12.86,true,0,19.54,-18.34,19.54,0,18.34,true,5.68,19.54,0.13,19.54,5.68,-0.13,true,5.68,19.54,-6.67,19.54,5.68,6.67,true,true,true,19.48,19.87,17.04,19.87,19.48,-17.04
67,2026-02-05 10:35:00,2026-02-05,10:35:00,6800,6798,6802,from_below,false,6781.66,6781.78,6799.85,6781.11,6798.26,1.74,true,5.68,7.4,0.13,7.4,5.68,-0.13,true,5.68,17.53,-11.15,17.53,5.68,11.15,true,5.68,18.42,-17.67,18.42,5.68,17.67,true,true,true,28.86,19.87,23.26,19.87,28.86,-23.26
