timestamp_et,session_date_et,session_time_et,open,high,low,close,volume,touched_dynamite_zone,touched_levels,first_touch_event,first_touch_levels,approach_directions
2026-02-02 09:30:00,2026-02-02,09:30:00,6916.64,6934.36,6916.64,6932.99,131433941,false,,false,,
2026-02-02 09:35:00,2026-02-02,09:35:00,6933.24,6944.05,6930.52,6940.27,71162389,false,,false,,
2026-02-02 09:40:00,2026-02-02,09:40:00,6940.52,6950.33,6937.14,6948.27,56788080,true,6950,true,6950,6950:from_below
2026-02-02 09:45:00,2026-02-02,09:45:00,6948.54,6951.26,6945.76,6949.99,54416630,true,6950,false,,
2026-02-02 09:50:00,2026-02-02,09:50:00,6950.28,6960.31,6950.28,6956.41,46653300,true,6950,false,,
2026-02-02 09:55:00,2026-02-02,09:55:00,6956.38,6958.08,6944.86,6949.29,45352100,true,6950,false,,
2026-02-02 10:00:00,2026-02-02,10:00:00,6948.76,6959.46,6946.7,6959.45,48456570,true,6950,false,,
2026-02-02 10:05:00,2026-02-02,10:05:00,6960.22,6968.6,6959.86,6968.18,46928010,false,,false,,
2026-02-02 10:10:00,2026-02-02,10:10:00,6968.28,6975.23,6966.12,6974.71,44150230,false,,false,,
2026-02-02 10:15:00,2026-02-02,10:15:00,6974.79,6978.58,6971.03,6978.06,46079570,false,,false,,
2026-02-02 10:20:00,2026-02-02,10:20:00,6978.1,6979.6,6974.25,6975.21,40354130,false,,false,,
2026-02-02 10:25:00,2026-02-02,10:25:00,6975.32,6976.83,6968.96,6970.37,41212340,false,,false,,
2026-02-02 10:30:00,2026-02-02,10:30:00,6970.32,6974.89,6967.99,6974.07,38403540,false,,false,,
2026-02-02 10:35:00,2026-02-02,10:35:00,6974.3,6980.82,6973.74,6980.25,37073930,false,,false,,
2026-02-02 10:40:00,2026-02-02,10:40:00,6980.28,6980.58,6971.75,6974.08,38220390,false,,false,,
2026-02-02 10:45:00,2026-02-02,10:45:00,6973.95,6974.07,6970.07,6970.18,32929130,false,,false,,
2026-02-02 10:50:00,2026-02-02,10:50:00,6969.89,6974.88,6968.02,6972.82,35386340,false,,false,,
2026-02-02 10:55:00,2026-02-02,10:55:00,6972.72,6973.11,6966.03,6969.78,36667890,false,,false,,
2026-02-02 11:00:00,2026-02-02,11:00:00,6969.87,6970.66,6964.53,6965.07,33125080,false,,false,,
2026-02-02 11:05:00,2026-02-02,11:05:00,6965.16,6970.52,6962.1,6970.16,31596740,false,,false,,
2026-02-02 11:10:00,2026-02-02,11:10:00,6970.29,6973.54,6969.7,6973.18,29526250,false,,false,,
2026-02-02 11:15:00,2026-02-02,11:15:00,6973.22,6977.1,6972.18,6975.51,31357250,false,,false,,
2026-02-02 11:20:00,2026-02-02,11:20:00,6975.43,6978.9,6974.54,6977.26,32383410,false,,false,,
2026-02-02 11:25:00,2026-02-02,11:25:00,6977.23,6978.47,6973.38,6978.24,36955980,false,,false,,
2026-02-02 11:30:00,2026-02-02,11:30:00,6978.15,6978.15,6973.67,6977.2,31292180,false,,false,,
2026-02-02 11:35:00,2026-02-02,11:35:00,6977.17,6978.34,6974.94,6975.08,26532470,false,,false,,
2026-02-02 11:40:00,2026-02-02,11:40:00,6975.14,6975.33,6971.63,6973.73,26036390,false,,false,,
2026-02-02 11:45:00,2026-02-02,11:45:00,6973.81,6973.94,6967.84,6971.44,23930920,false,,false,,
2026-02-02 11:50:00,2026-02-02,11:50:00,6971.51,6975.48,6970.01,6975.21,25315180,false,,false,,
2026-02-02 11:55:00,2026-02-02,11:55:00,6975.13,6980.57,6975.01,6979.78,25611750,false,,false,,
2026-02-02 12:00:00,2026-02-02,12:00:00,6979.83,6985.82,6979.01,6985.82,27491640,false,,false,,
2026-02-02 12:05:00,2026-02-02,12:05:00,6985.74,6986.22,6983.21,6986.15,26298610,false,,false,,
2026-02-02 12:10:00,2026-02-02,12:10:00,6986.18,6987.82,6984.85,6984.93,23897290,false,,false,,
2026-02-02 12:15:00,2026-02-02,12:15:00,6984.96,6986.59,6983.38,6986.37,25083230,false,,false,,
2026-02-02 12:20:00,2026-02-02,12:20:00,6986.19,6986.26,6982.36,6984.23,25335320,false,,false,,
